archetype,age,overall_rating,goals_per_90,assists_per_90,rating_gap,contract_years_left,fpvi,n_players
Elite Players,28.07,76.87,0.7,0.46,4.47,2.56,42.08,2229
Goal Scorers,27.48,76.86,3.19,2.51,5.57,2.4,75.37,571
