Model,Accuracy,Macro F1,ROC-AUC (OvR)
LightGBM,0.41904761904761906,0.37619762351469666,0.5440934913135386
XGBoost,0.41904761904761906,0.35335825424463624,0.5421031426859795
Random Forest,0.45,0.3162028799666791,0.5484930771929376
Logistic Regression,0.4523809523809524,0.2967816036171572,0.5215166238468534
