Model,RMSE,MAE,R²,R²_log
LightGBM,6.865138362602407,4.492893009544303,0.95835689802906,0.9804398924098786
XGBoost,6.959184967486562,4.476880562170382,0.9572081322548354,0.9809395120122376
Gradient Boosting,7.043627067008086,4.5517426446822435,0.956163366893966,0.9802191251123094
Random Forest,9.808144485640485,6.296480622758495,0.9150001434083628,0.9585771555069458
Ridge,20.42365248654977,13.773734703327147,0.6314373620602703,0.8139482877976316
